room_id,room_number,room_type,status
1,GW-001,General Ward,Available
2,GW-002,General Ward,Available
3,GW-003,General Ward,Available
4,GW-004,General Ward,Available
5,GW-005,General Ward,Available
6,GW-006,General Ward,Available
7,GW-007,General Ward,Available
8,GW-008,General Ward,Available
9,GW-009,General Ward,Available
10,GW-010,General Ward,Available
11,GW-011,General Ward,Available
12,GW-012,General Ward,Available
13,GW-013,General Ward,Available
14,GW-014,General Ward,Available
15,GW-015,General Ward,Available
16,GW-016,General Ward,Available
17,GW-017,General Ward,Available
18,GW-018,General Ward,Available
19,GW-019,General Ward,Available
20,GW-020,General Ward,Available
21,GW-021,General Ward,Available
22,GW-022,General Ward,Available
23,GW-023,General Ward,Available
24,GW-024,General Ward,Available
25,GW-025,General Ward,Available
26,GW-026,General Ward,Available
27,GW-027,General Ward,Available
28,GW-028,General Ward,Available
29,GW-029,General Ward,Available
30,GW-030,General Ward,Available
31,GW-031,General Ward,Available
32,GW-032,General Ward,Available
33,GW-033,General Ward,Available
34,GW-034,General Ward,Available
35,GW-035,General Ward,Available
36,GW-036,General Ward,Available
37,GW-037,General Ward,Available
38,GW-038,General Ward,Available
39,GW-039,General Ward,Available
40,GW-040,General Ward,Available
41,GW-041,General Ward,Available
42,GW-042,General Ward,Available
43,GW-043,General Ward,Available
44,GW-044,General Ward,Available
45,GW-045,General Ward,Available
46,GW-046,General Ward,Available
47,GW-047,General Ward,Available
48,GW-048,General Ward,Available
49,GW-049,General Ward,Available
50,GW-050,General Ward,Available
51,GW-051,General Ward,Available
52,GW-052,General Ward,Available
53,GW-053,General Ward,Available
54,GW-054,General Ward,Available
55,GW-055,General Ward,Available
56,GW-056,General Ward,Available
57,GW-OCC001,General Ward,Occupied
58,GW-OCC002,General Ward,Occupied
59,GW-OCC003,General Ward,Occupied
60,GW-OCC004,General Ward,Occupied
61,GW-OCC005,General Ward,Occupied
62,GW-OCC006,General Ward,Occupied
63,GW-OCC007,General Ward,Occupied
64,GW-OCC008,General Ward,Occupied
65,GW-OCC009,General Ward,Occupied
66,GW-OCC010,General Ward,Occupied
67,GW-OCC011,General Ward,Occupied
68,GW-OCC012,General Ward,Occupied
69,GW-OCC013,General Ward,Occupied
70,GW-OCC014,General Ward,Occupied
71,PR-001,Private Room,Available
72,PR-002,Private Room,Available
73,PR-003,Private Room,Available
74,PR-004,Private Room,Available
75,PR-005,Private Room,Available
76,PR-006,Private Room,Available
77,PR-007,Private Room,Available
78,PR-008,Private Room,Available
79,PR-009,Private Room,Available
80,PR-010,Private Room,Available
81,PR-011,Private Room,Available
82,PR-012,Private Room,Available
83,PR-013,Private Room,Available
84,PR-014,Private Room,Available
85,PR-015,Private Room,Available
86,PR-016,Private Room,Available
87,PR-017,Private Room,Available
88,PR-018,Private Room,Available
89,PR-019,Private Room,Available
90,PR-020,Private Room,Available
91,PR-021,Private Room,Available
92,PR-022,Private Room,Available
93,PR-023,Private Room,Available
94,PR-024,Private Room,Available
95,PR-025,Private Room,Available
96,PR-026,Private Room,Available
97,PR-027,Private Room,Available
98,PR-028,Private Room,Available
99,PR-029,Private Room,Available
100,PR-030,Private Room,Available
101,PR-031,Private Room,Available
102,PR-032,Private Room,Available
103,PR-033,Private Room,Available
104,PR-034,Private Room,Available
105,PR-035,Private Room,Available
106,PR-036,Private Room,Available
107,PR-037,Private Room,Available
108,PR-038,Private Room,Available
109,PR-039,Private Room,Available
110,PR-040,Private Room,Available
111,PR-041,Private Room,Available
112,PR-042,Private Room,Available
113,PR-043,Private Room,Available
114,PR-044,Private Room,Available
115,PR-045,Private Room,Available
116,PR-OCC001,Private Room,Occupied
117,PR-OCC002,Private Room,Occupied
118,PR-OCC003,Private Room,Occupied
119,PR-OCC004,Private Room,Occupied
120,PR-OCC005,Private Room,Occupied
